anio;provincia;distrito;ugel;nivel_agrupado;gestion;area;total_estudiantes;mujeres;hombres;retirados;total_atraso
2024;CHUPACA;CHUPACA;UGEL CHUPACA;Inicial;Privada;Urbana;745;360;385;2;0
2024;TARMA;TARMA;UGEL TARMA;Secundaria;Pública de gestión privada;Urbana;310;156;154;12;26
2024;SATIPO;COVIRIALI;UGEL SATIPO;Inicial;Pública de gestión directa;Rural;170;84;86;0;0
2024;SATIPO;PAMPA HERMOSA;UGEL SATIPO;Secundaria;Pública de gestión directa;Rural;200;95;105;5;9
2024;YAULI;SANTA ROSA DE SACCO;UGEL YAULI;Inicial;Privada;Urbana;90;51;39;0;0
2024;CHANCHAMAYO;PERENE;UGEL CHANCHAMAYO;Inicial;Privada;Rural;9;5;4;0;0
2024;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Inicial;Privada;Urbana;314;149;165;2;0
2024;CHANCHAMAYO;SAN RAMON;UGEL CHANCHAMAYO;Inicial;Privada;Urbana;331;170;161;3;0
2024;YAULI;LA OROYA;UGEL YAULI;Secundaria;Pública de gestión directa;Rural;32;13;19;0;3
2024;JAUJA;MONOBAMBA;UGEL CHANCHAMAYO;Secundaria;Pública de gestión directa;Rural;100;49;51;0;11
2024;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Inicial;Pública de gestión directa;Urbana;1037;510;527;1;0
2024;CHANCHAMAYO;SAN RAMON;UGEL CHANCHAMAYO;Primaria;Privada;Urbana;621;298;323;2;1
2024;JUNIN;CARHUAMAYO;UGEL JUNÍN;Inicial;Privada;Urbana;18;9;9;0;0
2024;CHANCHAMAYO;SAN RAMON;UGEL CHANCHAMAYO;Secundaria;Pública de gestión directa;Rural;84;37;47;0;7
2024;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Secundaria;Privada;Urbana;682;335;347;3;1
2024;CHANCHAMAYO;SAN RAMON;UGEL CHANCHAMAYO;Secundaria;Privada;Urbana;417;182;235;2;9
2024;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Secundaria;Pública de gestión directa;Rural;1911;865;1046;59;353
2024;SATIPO;COVIRIALI;UGEL SATIPO;Secundaria;Pública de gestión directa;Rural;183;87;96;0;18
2024;JUNIN;JUNIN;UGEL JUNÍN;Secundaria;Privada;Urbana;35;15;20;0;0
2024;SATIPO;RIO NEGRO;UGEL SATIPO;Secundaria;Pública de gestión directa;Rural;1253;602;651;0;225
2024;HUANCAYO;SAPALLANGA;UGEL HUANCAYO;Secundaria;Privada;Urbana;94;55;39;6;9
2024;HUANCAYO;SICAYA;UGEL HUANCAYO;Primaria;Privada;Urbana;320;165;155;0;0
2024;CONCEPCION;MATAHUASI;UGEL CONCEPCIÓN;Inicial;Privada;Rural;40;23;17;0;0
2024;HUANCAYO;HUALHUAS;UGEL HUANCAYO;Inicial;Privada;Urbana;77;34;43;0;0
2024;SATIPO;PANGOA;UGEL RIO TAMBO;Primaria;Pública de gestión directa;Rural;152;78;74;0;8
2024;SATIPO;RIO TAMBO;UGEL RIO TAMBO;Secundaria;Pública de gestión privada;Rural;204;106;98;0;38
2024;SATIPO;RIO TAMBO;UGEL PANGOA;Primaria;Pública de gestión directa;Rural;69;47;22;0;2
2024;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Inicial;Pública de gestión directa;Rural;42;22;20;0;0
2024;SATIPO;MAZAMARI;UGEL RIO TAMBO;Primaria;Pública de gestión directa;Rural;85;47;38;0;5
2024;HUANCAYO;SAPALLANGA;UGEL HUANCAYO;Primaria;Privada;Urbana;261;133;128;2;2
2024;TARMA;PALCA;UGEL TARMA;Inicial;Pública de gestión directa;Rural;197;104;93;0;0
2024;SATIPO;PANGOA;UGEL RIO TAMBO;Inicial;Pública de gestión directa;Rural;35;18;17;0;0
2024;YAULI;YAULI;UGEL YAULI;Secundaria;Pública de gestión directa;Rural;2;2;0;0;0
2024;YAULI;YAULI;UGEL YAULI;Inicial;Pública de gestión directa;Rural;50;28;22;0;0
2024;TARMA;HUASAHUASI;UGEL TARMA;Secundaria;Pública de gestión directa;Rural;210;112;98;0;56
2024;YAULI;LA OROYA;UGEL YAULI;Secundaria;Privada;Urbana;81;39;42;0;7
2024;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Secundaria;Pública de gestión directa;Urbana;1914;961;953;8;158
2024;YAULI;LA OROYA;UGEL YAULI;Primaria;Privada;Urbana;191;87;104;0;2
2024;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Inicial;Pública de gestión privada;Urbana;29;14;15;0;0
2024;SATIPO;MAZAMARI;UGEL SATIPO;Inicial;Privada;Urbana;159;68;91;2;0
2024;YAULI;LA OROYA;UGEL YAULI;Inicial;Privada;Urbana;135;68;67;0;0
2024;HUANCAYO;CHUPURO;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;53;26;27;0;0
2024;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Secundaria;Privada;Urbana;967;452;515;1;12
2024;YAULI;SANTA ROSA DE SACCO;UGEL YAULI;Primaria;Privada;Urbana;304;137;167;0;0
2024;HUANCAYO;CHILCA;UGEL HUANCAYO;Primaria;Pública de gestión privada;Urbana;319;157;162;0;0
2024;HUANCAYO;CHILCA;UGEL HUANCAYO;Secundaria;Pública de gestión privada;Urbana;294;147;147;1;2
2024;HUANCAYO;CHILCA;UGEL HUANCAYO;Inicial;Pública de gestión privada;Urbana;108;55;53;0;0
2024;TARMA;SAN PEDRO DE CAJAS;UGEL TARMA;Inicial;Pública de gestión directa;Rural;26;15;11;0;0
2024;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Inicial;Privada;Urbana;51;29;22;0;0
2024;HUANCAYO;QUILCAS;UGEL HUANCAYO;Inicial;Privada;Urbana;32;20;12;0;0
2024;HUANCAYO;QUILCAS;UGEL HUANCAYO;Primaria;Privada;Urbana;54;24;30;0;0
2024;HUANCAYO;HUANCAN;UGEL HUANCAYO;Inicial;Privada;Urbana;356;169;187;1;0
2024;HUANCAYO;HUANCAN;UGEL HUANCAYO;Primaria;Privada;Urbana;359;165;194;0;1
2024;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Primaria;Privada;Urbana;111;63;48;0;11
2024;HUANCAYO;SAN AGUSTIN;UGEL HUANCAYO;Secundaria;Privada;Urbana;768;360;408;0;8
2024;HUANCAYO;SAPALLANGA;UGEL HUANCAYO;Inicial;Privada;Urbana;164;68;96;0;0
2024;JAUJA;JAUJA;UGEL JAUJA;Inicial;Privada;Rural;24;11;13;0;0
2024;JUNIN;CARHUAMAYO;UGEL JUNÍN;Secundaria;Privada;Urbana;150;86;64;0;3
2024;TARMA;ACOBAMBA;UGEL TARMA;Inicial;Privada;Urbana;27;10;17;0;0
2024;TARMA;ACOBAMBA;UGEL TARMA;Primaria;Privada;Urbana;110;51;59;0;1
2024;CONCEPCION;SANTA ROSA DE OCOPA;UGEL CONCEPCIÓN;Secundaria;Pública de gestión directa;Rural;75;34;41;0;4
2024;HUANCAYO;HUACRAPUQUIO;UGEL HUANCAYO;Secundaria;Pública de gestión directa;Rural;41;20;21;2;4
2024;TARMA;PALCA;UGEL TARMA;Secundaria;Pública de gestión directa;Rural;64;28;36;0;7
2024;YAULI;MOROCOCHA;UGEL YAULI;Secundaria;Pública de gestión directa;Rural;29;15;14;0;2
