anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2024;1399559-0;1399559;0;TIAMBRA;Pública de gestión directa;F0;Secundaria;Secundaria;26;14;12;0;6;JUNIN;TARMA;HUASAHUASI;UGEL TARMA;Rural
2024;1399567-0;1399567;0;FRANCISCO BOLOGNESI CERVANTES;Pública de gestión directa;F0;Secundaria;Secundaria;10;6;4;0;4;JUNIN;TARMA;HUASAHUASI;UGEL TARMA;Rural
2024;1399575-0;1399575;0;MARAYNIOC;Pública de gestión directa;F0;Secundaria;Secundaria;2;1;1;0;0;JUNIN;TARMA;PALCA;UGEL TARMA;Rural
2024;1399583-0;1399583;0;JOSE MARIA ARGUEDAS ALTAMIRANO;Pública de gestión directa;F0;Secundaria;Secundaria;29;14;15;0;3;JUNIN;TARMA;PALCA;UGEL TARMA;Rural
2024;1399609-0;1399609;0;YANEC;Pública de gestión directa;F0;Secundaria;Secundaria;13;5;8;0;0;JUNIN;TARMA;SAN PEDRO DE CAJAS;UGEL TARMA;Rural
2024;1399617-0;1399617;0;COLEGIO ADVENTISTA SATIPO;Privada;A2;Inicial - Jardín;Inicial;23;15;8;2;0;JUNIN;SATIPO;SATIPO;UGEL SATIPO;Urbana
2024;1399880-0;1399880;0;APOSTOL PABLO HIGH SCHOOL;Privada;A2;Inicial - Jardín;Inicial;14;6;8;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1401066-0;1401066;0;ALFONSO UGARTE VERNAL;Pública de gestión directa;F0;Secundaria;Secundaria;14;6;8;0;0;JUNIN;JUNIN;ULCUMAYO;UGEL JUNÍN;Rural
2024;1401074-0;1401074;0;MANUEL GONZALES PRADA;Pública de gestión directa;F0;Secundaria;Secundaria;16;12;4;1;3;JUNIN;JUNIN;ULCUMAYO;UGEL JUNÍN;Rural
2024;1401082-0;1401082;0;JUAN VELASCO ALVARADO;Pública de gestión directa;F0;Secundaria;Secundaria;36;18;18;9;6;JUNIN;JUNIN;ULCUMAYO;UGEL JUNÍN;Rural
2024;1401108-0;1401108;0;SAGRADOS CORAZONES;Privada;A2;Inicial - Jardín;Inicial;39;12;27;2;0;JUNIN;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Urbana
2024;1401116-0;1401116;0;ASCENSION DE JESUS;Privada;A2;Inicial - Jardín;Inicial;27;13;14;3;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2024;1401306-0;1401306;0;ABC PRISMA;Privada;A2;Inicial - Jardín;Inicial;9;3;6;0;0;JUNIN;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Urbana
2024;1401769-0;1401769;0;MIS PEQUEÑOS INGENIEROS;Privada;B0;Primaria;Primaria;104;52;52;0;0;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;UGEL HUANCAYO;Urbana
2024;1402304-0;1402304;0;ARGUS;Privada;B0;Primaria;Primaria;58;31;27;7;1;JUNIN;TARMA;TARMA;UGEL TARMA;Urbana
2024;1402312-0;1402312;0;ARGUS;Privada;F0;Secundaria;Secundaria;89;43;46;6;1;JUNIN;TARMA;TARMA;UGEL TARMA;Urbana
2024;1402593-0;1402593;0;MILAGRITOS DEL SABER;Privada;A2;Inicial - Jardín;Inicial;31;17;14;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1404623-0;1404623;0;MAX PLANCK;Privada;B0;Primaria;Primaria;71;41;30;0;0;JUNIN;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Urbana
2024;1404631-0;1404631;0;MAX PLANCK;Privada;F0;Secundaria;Secundaria;89;35;54;0;0;JUNIN;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Urbana
2024;1405018-0;1405018;0;31660;Pública de gestión directa;F0;Secundaria;Secundaria;56;26;30;0;4;JUNIN;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Rural
2024;1405026-0;1405026;0;30858;Pública de gestión directa;F0;Secundaria;Secundaria;54;18;36;0;7;JUNIN;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Rural
